date,sex,age,ethnicity,population
2022-01-01,male,70-74,overall,327.4
2022-01-01,male,70-74,bumi_malay,167.8
2022-01-01,male,70-74,bumi_other,32.4
2022-01-01,male,70-74,chinese,90.2
2022-01-01,male,70-74,indian,20.5
2022-01-01,male,70-74,other_citizen,2.3
2022-01-01,male,70-74,other_noncitizen,14.3
2022-01-01,male,75-79,overall,176.3
2022-01-01,male,75-79,bumi_malay,85.1
2022-01-01,male,75-79,bumi_other,18.8
2022-01-01,male,75-79,chinese,52.9
2022-01-01,male,75-79,indian,10.4
2022-01-01,male,75-79,other_citizen,1.2
2022-01-01,male,75-79,other_noncitizen,7.9
2022-01-01,male,80-84,overall,92.9
2022-01-01,male,80-84,bumi_malay,41.0
2022-01-01,male,80-84,bumi_other,10.9
2022-01-01,male,80-84,chinese,28.9
2022-01-01,male,80-84,indian,5.4
2022-01-01,male,80-84,other_citizen,0.6
2022-01-01,male,80-84,other_noncitizen,6.1
2022-01-01,male,85+,overall,67.2
2022-01-01,male,85+,bumi_malay,30.3
2022-01-01,male,85+,bumi_other,8.9
2022-01-01,male,85+,chinese,15.2
2022-01-01,male,85+,indian,3.8
2022-01-01,male,85+,other_citizen,0.5
2022-01-01,male,85+,other_noncitizen,8.5
