date,sex,age,ethnicity,population
2016-01-01,female,85+,overall,73.4
2016-01-01,female,85+,bumi_malay,35.7
2016-01-01,female,85+,bumi_other,8.5
2016-01-01,female,85+,chinese,20.6
2016-01-01,female,85+,indian,5.1
2016-01-01,female,85+,other_citizen,0.4
2016-01-01,female,85+,other_noncitizen,3.1
2016-01-01,male,overall,overall,16346.3
2016-01-01,male,overall,bumi_malay,7952.3
2016-01-01,male,overall,bumi_other,1870.4
2016-01-01,male,overall,chinese,3413.5
2016-01-01,male,overall,indian,991.5
2016-01-01,male,overall,other_citizen,144.2
2016-01-01,male,overall,other_noncitizen,1974.4
2016-01-01,male,0-4,overall,1360.0
2016-01-01,male,0-4,bumi_malay,830.7
2016-01-01,male,0-4,bumi_other,173.9
2016-01-01,male,0-4,chinese,193.2
2016-01-01,male,0-4,indian,63.0
2016-01-01,male,0-4,other_citizen,21.8
2016-01-01,male,0-4,other_noncitizen,77.3
2016-01-01,male,5-9,overall,1295.4
2016-01-01,male,5-9,bumi_malay,756.0
2016-01-01,male,5-9,bumi_other,186.2
2016-01-01,male,5-9,chinese,216.6
2016-01-01,male,5-9,indian,74.5
2016-01-01,male,5-9,other_citizen,20.3
2016-01-01,male,5-9,other_noncitizen,41.7
2016-01-01,male,10-14,overall,1342.9
2016-01-01,male,10-14,bumi_malay,771.8
2016-01-01,male,10-14,bumi_other,194.5
2016-01-01,male,10-14,chinese,246.6
2016-01-01,male,10-14,indian,83.7
2016-01-01,male,10-14,other_citizen,16.2
2016-01-01,male,10-14,other_noncitizen,30.1
2016-01-01,male,15-19,overall,1481.7
2016-01-01,male,15-19,bumi_malay,771.6
2016-01-01,male,15-19,bumi_other,192.0
2016-01-01,male,15-19,chinese,265.6
2016-01-01,male,15-19,indian,88.4
2016-01-01,male,15-19,other_citizen,15.4
2016-01-01,male,15-19,other_noncitizen,148.5
2016-01-01,male,20-24,overall,1703.8
2016-01-01,male,20-24,bumi_malay,764.6
2016-01-01,male,20-24,bumi_other,190.8
2016-01-01,male,20-24,chinese,279.7
2016-01-01,male,20-24,indian,87.7
2016-01-01,male,20-24,other_citizen,13.6
2016-01-01,male,20-24,other_noncitizen,367.4
2016-01-01,male,25-29,overall,1702.0
2016-01-01,male,25-29,bumi_malay,714.8
2016-01-01,male,25-29,bumi_other,164.6
2016-01-01,male,25-29,chinese,272.2
2016-01-01,male,25-29,indian,91.4
2016-01-01,male,25-29,other_citizen,12.3
2016-01-01,male,25-29,other_noncitizen,446.8
2016-01-01,male,30-34,overall,1473.6
2016-01-01,male,30-34,bumi_malay,649.1
2016-01-01,male,30-34,bumi_other,151.1
2016-01-01,male,30-34,chinese,270.0
2016-01-01,male,30-34,indian,89.5
2016-01-01,male,30-34,other_citizen,10.3
2016-01-01,male,30-34,other_noncitizen,303.6
2016-01-01,male,35-39,overall,1179.6
2016-01-01,male,35-39,bumi_malay,513.8
2016-01-01,male,35-39,bumi_other,117.9
2016-01-01,male,35-39,chinese,253.3
2016-01-01,male,35-39,indian,77.2
2016-01-01,male,35-39,other_citizen,7.3
2016-01-01,male,35-39,other_noncitizen,210.0
2016-01-01,male,40-44,overall,987.8
2016-01-01,male,40-44,bumi_malay,439.0
2016-01-01,male,40-44,bumi_other,104.2
2016-01-01,male,40-44,chinese,240.9
2016-01-01,male,40-44,indian,66.7
2016-01-01,male,40-44,other_citizen,5.1
2016-01-01,male,40-44,other_noncitizen,131.9
2016-01-01,male,45-49,overall,873.7
2016-01-01,male,45-49,bumi_malay,399.8
2016-01-01,male,45-49,bumi_other,96.4
2016-01-01,male,45-49,chinese,230.2
2016-01-01,male,45-49,indian,60.4
2016-01-01,male,45-49,other_citizen,4.7
2016-01-01,male,45-49,other_noncitizen,82.2
2016-01-01,male,50-54,overall,812.1
2016-01-01,male,50-54,bumi_malay,377.1
2016-01-01,male,50-54,bumi_other,88.9
